,car_park_no,address,car_park_type,type_of_parking_system,free_parking,night_parking,car_park_basement,address_adj,Name (English),Region
0,ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,YES,Y,QUEENSTOWN,QUEENSTOWN,Central
1,AR1L,3 AND 5 DOVER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
2,AR1M,BLK 2A DOVER ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
3,AR2L,BLK 26 AND 27 DOVER CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
4,AR2M,BLK 28 DOVER CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
5,AR5M,BLK 19A DOVER CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
6,AR7L,12 TO 14 DOVER CLOSE EAST,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
7,AR7M,BLK 12A DOVER CLOSE EAST,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
8,AR9,BLK 20/22/23 DOVER CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,QUEENSTOWN,QUEENSTOWN,Central
9,AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
10,CCM,BLK 84A COMMONWEALTH CLOSE,MULTI-STOREY CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
11,CDM,BLK 54 C'WEALTH DR,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
12,CLM,BLK 129A CLARENCE LANE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
13,CR30,BLK 639/640 ROWELL COURT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
14,CR31,BLK 632/633/635 VEERASAMY ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
15,CR4,BLK 7 NORTH BRIDGE ROAD,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,QUEENSTOWN,QUEENSTOWN,Central
16,CR5,BLK 18/19 JALAN SULTAN,SURFACE CAR PARK,COUPON PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
17,CR6,BLK 10 NORTH BRIDGE ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
18,CR7,BLK 464/463 CRAWFORD LANE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
19,CSM,BLK 54 CHIN SWEE ROAD MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
20,CTM1,BLK 441 COMMONWEALTH AVE WEST,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
21,CVBK,BLK 8C BOON KENG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
22,CV1,BLK 1/1A TELOK PAKU ROAD,MECHANISED AND SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
23,C4M,BLK 413A COMMONWEALTH AVENUE WEST,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
24,DSRL,BLK 38A MARGARET DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
25,DSR1,BLK 31A MARGARET DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
26,DSR2,BLK 37A MARGARET DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
27,DWSO,BLK 40 & 41 MARGARET DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
